node,pagerank
0,0.09
1,6.63
2,0.09
3,0.46
4,0.74
5,5.69
6,0.83
7,1.29
8,0.09
9,3.71
10,0.37
11,0.46
12,0.46
13,1.38
14,0.09
15,0.55
16,0.46
17,0.09
18,0.46
19,0.29
20,0.09
21,0.37
22,0.09
23,0.09
24,0.09
25,0.19
26,0.09
27,7.11
28,0.09
29,0.09
30,0.20
31,0.29
32,0.20
33,0.09
34,0.09
35,0.30
36,0.09
37,0.09
38,0.09
39,1.70
40,0.09
41,0.30
42,0.38
43,0.09
44,0.95
45,2.34
46,10.44
47,0.09
48,0.09
49,0.92
50,1.01
51,0.65
52,0.30
53,10.17
54,9.36
55,1.47
56,28.43
57,0.09
58,0.20
59,1.04
60,1.18
61,0.09
62,1.14
63,0.09
64,0.09
65,0.38
66,0.09
67,0.09
68,0.09
69,0.57
70,0.19
71,0.09
72,34.43
73,11.61
74,26.75
75,21.20
76,74.30
77,0.37
78,31.00
79,10.87
80,24.70
81,11.03
82,19.46
83,18.36
84,4.37
85,2.95
86,11.45
87,4.02
88,25.88
89,22.64
90,33.48
91,15.85
92,6.34
93,41.61
94,0.73
95,54.76
96,1.47
97,4.02
98,0.20
99,2.01
100,0.37
101,7.90
102,18.68
103,0.09
104,0.19
105,0.18
106,38.45
107,21.38
108,1.92
109,30.92
110,0.37
111,15.90
112,4.95
113,3.10
114,26.09
115,11.51
116,20.85
117,0.20
118,9.29
119,4.10
120,1.28
121,3.02
122,8.68
123,1.91
124,0.28
125,0.93
126,2.82
127,43.53
128,24.50
129,0.28
130,0.09
131,9.84
132,4.45
133,13.76
134,36.01
135,1.28
136,93.51
137,1.55
138,8.98
139,0.09
140,114.37
141,1.83
142,0.60
143,12.59
144,13.27
145,12.13
146,21.73
147,19.26
148,0.18
149,4.30
150,0.74
151,15.56
152,0.09
153,2.00
154,4.11
155,45.40
156,5.86
157,3.91
158,0.18
159,0.46
160,2.01
161,0.27
162,0.28
163,0.19
164,8.49
165,15.12
166,6.55
167,0.18
168,11.31
169,3.10
170,0.09
171,13.57
172,17.08
173,9.66
174,4.82
175,45.10
176,0.46
177,7.72
178,2.94
179,0.27
180,14.36
181,0.27
182,0.37
183,10.69
184,25.23
185,7.52
186,20.86
187,4.82
188,42.60
189,0.28
190,0.09
191,0.55
192,17.26
193,8.58
194,16.50
195,104.10
196,2.65
197,8.37
198,3.91
199,0.18
200,16.86
201,0.09
202,0.36
203,4.72
204,0.46
205,11.53
206,5.46
207,5.38
208,0.18
209,0.09
210,0.09
211,0.09
212,1.10
213,46.56
214,0.18
215,25.64
216,0.09
217,2.64
218,5.19
219,3.64
220,0.73
221,7.02
222,0.09
223,3.46
224,8.83
225,30.85
226,2.19
227,4.65
228,12.91
229,12.65
230,4.72
231,0.82
232,36.22
233,23.73
234,14.18
235,11.18
236,2.09
237,0.63
238,0.37
239,9.08
240,20.79
241,41.74
242,1.64
243,22.09
244,11.02
245,12.57
246,3.96
247,0.09
248,0.09
249,1.54
250,18.22
251,7.41
252,9.71
253,0.27
