node,pagerank
0,0.000000
1,1.181364
2,1.181364
3,1.181364
4,0.000000
5,1.181364
6,1.346093
7,1.428545
8,0.000000
9,1.181364
1638,0.000000
1941,2.472207
2107,0.000000
5689,0.000000
9893,2.239497
16494,0.000000
22298,1.560198
22730,0.000000
22731,1.178811
22732,1.305177
162,0.000000
10363,0.000000
10989,0.000000
17823,1.600784
18001,1.580907
19350,1.500860
19351,2.911026
19352,1.338384
19353,1.338384
19354,1.589938
10,0.000000
11,1.304205
12,1.304205
13,1.304205
14,0.000000
15,0.000000
16,1.304205
17,1.304205
18,1.304205
19,1.304205
20,1.575411
166,2.127014
294,1.710513
2039,1.538705
2544,0.000000
8341,1.369198
8342,1.795724
8343,2.209770
8344,1.953440
8345,1.237339
8346,1.237339
591,0.000000
2491,0.000000
4039,0.000000
10786,0.000000
13453,1.196275
13454,1.196275
13455,1.196275
13456,1.196275
13457,1.196275
13458,1.196275
21,0.000000
22,1.885521
23,1.127481
24,1.372740
25,1.127481
26,1.312545
27,1.127481
28,1.763779
29,1.127481
30,1.127481
31,0.000000
32,1.985438
33,1.152897
34,0.000000
35,0.000000
36,1.152897
37,2.259180
38,2.030659
39,1.152897
40,0.000000
1219,1.762243
4157,0.000000
4668,1.187068
4669,2.025380
4670,1.867862
4671,0.000000
4672,1.187068
4673,1.187068
4674,0.000000
1959,2.306836
3372,1.595469
3523,1.597396
6178,0.000000
6861,2.034546
7109,1.240314
9685,1.365698
11270,1.118094
11271,1.530746
11272,2.405682
11273,1.578820
11274,1.118094
11275,1.118094
11276,0.000000
58,10.018374
766,1.785796
2987,1.629972
3320,3.037914
4931,1.969825
12098,1.449039
16936,0.000000
17000,2.182577
17042,1.739188
19428,1.225347
41,0.000000
42,1.100000
43,1.100000
44,1.100000
45,1.100000
46,3.301048
47,1.100000
48,2.277121
49,1.100000
50,1.100000
51,0.000000
4195,0.000000
9150,0.000000
9396,1.648310
12236,1.320138
12237,1.320138
12238,1.320138
12239,1.437546
12240,1.520453
12241,1.320138
12242,1.496891
52,0.000000
53,0.000000
54,0.000000
55,1.185349
56,1.668673
57,0.000000
59,2.789504
60,0.000000
61,1.744013
62,1.952515
2740,1.276199
2741,1.338207
2742,1.164919
2743,1.317853
2744,0.000000
2745,0.000000
2746,1.164919
2747,2.018233
285,2.084013
1137,2.035218
1797,2.061233
5035,2.163911
5170,2.432072
6742,0.000000
8387,2.424426
10149,1.845463
10150,0.000000
10151,1.219745
1232,0.000000
6959,0.000000
7338,0.000000
8255,0.000000
9997,1.190936
9998,1.190936
9999,0.000000
10000,0.000000
10001,1.190936
10002,1.190936
382,0.000000
2454,1.477333
2455,1.367333
2456,0.000000
2457,0.000000
2458,1.948340
2459,1.367333
2460,0.000000
2461,1.868014
2462,1.485119
2463,2.620990
63,0.000000
64,1.254008
65,1.679827
66,1.478485
67,1.564916
68,64.567715
69,1.254008
70,1.974248
71,2.163342
72,1.254008
73,1.254008
74,0.000000
75,0.000000
1456,0.000000
1861,2.228740
1862,1.465385
1863,1.431682
1864,0.000000
1865,1.331682
1866,2.529223
1867,2.563126
1868,2.798203
1869,1.331682
76,0.000000
77,3.753546
78,1.366660
79,1.366660
80,1.366660
81,1.366660
82,0.000000
83,1.366660
84,0.000000
85,1.366660
86,0.000000
642,19.429777
1396,0.000000
2947,0.000000
7391,0.000000
8902,3.539180
10920,0.000000
14244,2.069647
15195,0.000000
15196,0.000000
15197,1.171367
2487,0.000000
6761,0.000000
6770,1.997742
6920,1.517688
10401,0.000000
11083,1.479455
16657,1.676612
16658,1.345450
16659,0.000000
8892,0.000000
9002,1.623899
11280,2.233987
15396,0.000000
17176,1.972969
20932,0.000000
20933,0.000000
21449,0.000000
21450,1.532712
21451,2.574641
87,0.000000
88,0.000000
89,1.163551
90,1.163551
91,1.163551
92,1.163551
93,0.000000
94,1.996805
95,0.000000
96,0.000000
97,0.000000
3370,0.000000
9659,1.255659
14236,2.335093
20889,1.527191
21841,0.000000
21974,0.000000
23403,0.000000
23404,0.000000
23405,0.000000
1368,1.535456
1820,0.000000
6404,1.297090
8652,1.310854
11989,1.468020
13250,0.000000
13251,1.144831
13252,1.144831
13253,0.000000
143,0.000000
647,0.000000
1376,0.000000
1671,0.000000
12653,0.000000
14931,1.929997
18476,0.000000
21140,0.000000
21141,0.000000
5019,0.000000
5411,0.000000
6766,1.222268
6767,1.222268
6768,1.550737
6769,0.000000
6771,0.000000
6772,1.222268
6773,2.034290
1161,0.000000
2637,1.907946
2638,1.134450
2639,0.000000
2640,2.156931
2641,1.134450
2642,1.846446
2643,1.134450
2644,0.000000
2645,1.312678
98,0.000000
99,2.000000
100,0.000000
101,0.000000
102,0.000000
103,0.000000
104,0.000000
105,1.284059
106,1.284059
107,1.284059
108,1.284059
109,1.640052
110,0.000000
339,0.000000
571,1.907160
2689,2.309044
2693,3.510716
5994,0.000000
7054,0.000000
7367,0.000000
9672,0.000000
9673,0.000000
930,1.523925
1683,1.929111
1684,1.425399
1685,1.795399
1686,0.000000
1687,1.781502
1688,1.525513
1689,1.422340
1690,1.347085
1504,0.000000
3772,0.000000
4676,0.000000
11492,0.000000
11676,3.166288
12345,1.455602
13587,0.000000
14522,1.220495
14523,1.459366
14524,0.000000
20100,1.206485
20101,1.206485
20102,1.206485
20103,1.206485
20104,1.206485
20105,1.206485
20106,1.206485
20107,1.206485
20108,1.206485
20109,1.206485
693,1.910289
2865,0.000000
5608,1.479601
5835,0.000000
5914,1.504290
8025,0.000000
8026,1.466326
8027,0.000000
8028,1.218027
8029,0.000000
111,0.000000
112,2.062761
113,0.000000
114,1.255691
115,1.965045
116,1.255691
117,6.515447
118,1.255691
119,1.255691
120,1.255691
121,1.255691
1167,2.039754
1610,1.947375
3647,0.000000
3755,2.524368
6045,0.000000
6085,1.617561
10366,1.401764
10367,1.259179
10368,1.713351
10369,1.813810
122,0.000000
123,2.223817
124,0.000000
125,2.442217
126,0.000000
2351,1.600256
3038,1.624300
4595,1.390967
5787,1.431349
5788,0.000000
5789,1.404878
5790,1.290967
5791,1.543105
5792,2.689160
522,2.015690
829,0.000000
6055,1.491266
6316,2.003161
11459,0.000000
21273,1.343023
21274,1.343023
21275,1.470544
21276,0.000000
127,0.000000
128,1.144636
129,4.446096
130,2.522580
131,0.000000
132,0.000000
133,1.144636
134,2.130712
135,1.144636
136,1.280445
137,1.144636
485,1.505354
1099,0.000000
2118,2.930011
2404,1.206223
2405,2.089787
2406,1.206223
2407,1.415320
2408,1.206223
2409,1.206223
2410,1.206223
10704,7.441283
138,0.000000
139,0.000000
140,0.000000
141,0.000000
142,0.000000
144,0.000000
145,1.200365
146,1.617092
147,0.000000
148,0.000000
2156,0.000000
4076,0.000000
5478,5.241109
9374,1.641819
10572,1.712930
12991,1.264897
12992,1.264897
12993,1.264897
12994,0.000000
442,1.856777
2279,1.583651
2280,0.000000
2281,0.000000
2282,0.000000
2283,3.340134
2284,0.000000
2285,0.000000
2286,0.000000
2287,0.000000
4918,0.000000
7531,3.092015
15180,3.196754
15566,0.000000
3277,3.252472
3751,0.000000
4133,2.566706
5113,1.217498
5114,1.217498
5115,1.217498
5116,1.217498
5117,0.000000
5118,1.217498
5119,1.635589
5859,2.006649
6479,2.473833
7188,5.087020
7428,1.499190
8067,1.710151
8542,2.104416
12015,1.391019
12016,1.255216
12017,1.366796
851,1.230037
897,1.371388
943,1.120037
944,0.000000
945,0.000000
946,1.802268
947,1.120037
948,1.233332
949,1.120037
950,1.120037
451,0.000000
1704,1.506141
2935,4.099822
6014,0.000000
7904,0.000000
8388,3.282053
8950,6.424427
9038,1.273433
9039,1.480173
9040,2.131991
2783,2.051295
2784,1.661455
2785,0.000000
2786,1.429477
2787,0.000000
2788,1.521871
2789,1.728551
2790,1.821882
149,0.000000
150,0.000000
151,0.000000
152,1.122877
153,0.000000
154,1.454311
155,1.309196
156,0.000000
157,1.974964
158,0.000000
1147,1.414089
2243,1.300321
3253,1.112288
3254,0.000000
3255,1.773339
3256,1.112288
3257,1.112288
3258,1.112288
3259,1.231969
3260,0.000000
1937,1.848930
3832,0.000000
7388,0.000000
10265,0.000000
20037,1.317339
20631,1.492676
20632,1.126344
20633,0.000000
20634,1.126344
20635,1.126344
2676,1.683951
5695,0.000000
6530,3.133481
7893,0.000000
8816,1.561338
8817,1.214676
8818,1.415732
8819,0.000000
8820,1.527249
8821,0.000000
709,0.000000
838,1.685468
1576,0.000000
6361,0.000000
6838,0.000000
7440,0.000000
8160,0.000000
12554,0.000000
23373,0.000000
24871,1.169546
755,0.000000
4787,1.396246
5760,1.368048
6578,0.000000
10886,1.556865
13329,1.194879
13330,1.194879
13331,1.194879
159,0.000000
160,1.262981
161,1.262981
163,2.250087
164,1.262981
3602,0.000000
165,0.000000
167,2.274555
168,1.204884
169,0.000000
170,0.000000
171,0.000000
172,1.044846
173,1.182723
174,1.044846
175,1.044846
176,1.044846
177,0.000000
178,1.044846
179,1.044846
180,0.000000
181,2.089500
182,1.725664
183,1.044846
184,3.137948
185,0.000000
186,3.540533
187,0.000000
188,1.044846
189,0.000000
190,0.000000
191,1.405557
1536,2.428321
1537,1.320458
1538,0.000000
1539,1.320458
1540,1.320458
1541,0.000000
1542,0.000000
1543,1.320458
1544,0.000000
1545,1.766280
1183,2.089563
5251,0.000000
10996,1.553559
12139,1.723235
13609,1.942547
14508,1.314840
15079,1.292470
15080,1.163610
15081,0.000000
15082,1.163610
25886,0.000000
905,0.000000
1675,2.138359
2509,1.718714
4226,0.000000
4329,0.000000
6352,0.000000
7337,1.427906
7339,0.000000
7340,1.950049
1570,0.000000
2047,0.000000
3043,0.000000
3138,0.000000
7752,0.000000
8874,0.000000
12699,0.000000
22532,0.000000
24189,0.000000
24190,0.000000
675,1.554989
676,2.107971
677,2.206620
3609,1.583445
4456,0.000000
5271,3.749748
5743,1.655768
6637,0.000000
7190,1.254758
7191,1.126631
7192,1.172713
7193,1.546200
7194,2.199892
4362,0.000000
4363,1.376028
4364,1.624026
4365,1.376028
192,0.000000
193,1.214916
194,1.214916
195,1.214916
196,2.593751
197,1.214916
198,1.214916
199,1.314916
200,1.344916
201,0.000000
202,2.634627
203,0.000000
204,1.993540
617,0.000000
1342,0.000000
3330,1.860654
4926,0.000000
7583,0.000000
8221,1.264042
8222,1.264042
8223,1.264042
8224,1.264042
8225,1.264042
205,0.000000
206,2.849587
207,2.450095
208,2.336674
209,2.336674
210,2.719959
211,0.000000
212,1.407259
213,1.313871
214,1.148284
215,0.000000
216,2.122547
217,1.557516
218,1.148284
219,1.148284
220,1.665839
221,0.000000
2983,0.000000
4965,1.936089
4975,3.409298
5127,0.000000
7103,1.243460
7104,1.131338
7105,1.131338
2967,0.000000
2968,1.114828
2969,1.830183
2970,0.000000
2971,1.372961
2972,0.000000
2973,1.114828
2974,0.000000
2975,1.222903
2976,0.000000
222,0.000000
223,1.438920
224,0.000000
225,1.430635
226,0.000000
227,1.127120
228,2.353234
229,1.352660
230,0.000000
231,1.127120
232,1.127120
1472,5.627838
2102,0.000000
2430,0.000000
2539,0.000000
3905,0.000000
3951,2.422552
9213,4.290208
12322,0.000000
16802,1.890234
595,1.339757
1417,1.327387
6243,1.253157
6932,1.230899
6933,1.112712
6934,1.666349
6935,1.112712
6936,1.230899
6937,1.261143
6938,1.112712
1935,0.000000
2215,1.378270
4403,0.000000
10029,1.338160
10240,1.145645
10241,0.000000
10242,0.000000
10243,0.000000
10244,2.484104
10245,1.446631
233,0.000000
234,0.000000
235,3.199052
236,0.000000
237,0.000000
238,1.737679
239,1.591098
240,1.100000
241,1.100000
242,1.100000
243,1.464548
653,3.208178
2114,0.000000
2238,0.000000
6496,2.192811
8463,0.000000
8650,0.000000
11248,3.345277
14211,1.365028
14212,1.365028
331,1.373189
8535,1.543409
9894,1.522779
11884,1.564994
12478,2.148946
12868,0.000000
12931,0.000000
12932,0.000000
12933,1.192046
12934,1.192046
538,0.000000
717,0.000000
4652,2.380262
6703,0.000000
9245,1.334768
9391,1.186597
9592,1.153432
9593,1.153432
9594,2.526153
9595,1.558880
244,0.000000
245,0.000000
246,1.928687
247,1.115841
248,0.000000
249,0.000000
250,1.444584
251,0.000000
252,1.836590
253,1.671091
254,0.000000
3896,0.000000
6543,0.000000
6544,0.000000
6741,1.638024
8651,1.166024
8653,0.000000
8654,1.487395
8655,1.463354
8656,1.994055
3173,1.408748
3174,1.402820
3175,1.163483
3176,1.591710
3177,1.163483
3178,0.000000
3179,1.450297
3180,0.000000
3181,1.422914
3182,0.000000
3128,1.455775
3203,0.000000
5085,0.000000
9186,1.302711
10775,1.111584
10776,1.111584
10777,0.000000
10778,1.111584
10779,1.111584
3005,0.000000
3162,2.040615
3570,0.000000
11356,2.375658
12777,1.340239
12778,1.202025
