node,pagerank
0,0.094611
1,6.609660
2,0.094611
3,0.461481
4,0.735839
5,5.669143
6,0.825364
7,1.275895
8,0.094611
9,3.703346
10,0.370722
11,0.461519
12,0.461519
13,1.370833
14,0.094611
15,0.551566
16,0.459245
17,0.094611
18,0.463914
19,0.290666
20,0.094611
21,0.366611
22,0.094611
23,0.094611
24,0.094611
25,0.185005
26,0.094611
27,7.066547
28,0.094611
29,0.094611
30,0.204610
31,0.290666
32,0.204610
33,0.094611
34,0.094611
35,0.297596
36,0.094611
37,0.094611
38,0.094611
39,1.690124
40,0.094611
41,0.297596
42,0.373831
43,0.094611
44,0.946945
45,2.324829
46,10.363998
47,0.094611
48,0.094611
49,0.912985
50,1.005283
51,0.645786
52,0.297596
53,10.063931
54,9.266358
55,1.449975
56,28.128849
57,0.094611
58,0.204610
59,1.033072
60,1.177737
61,0.094611
62,1.133676
63,0.094611
64,0.094611
65,0.381543
66,0.094611
67,0.094611
68,0.094611
69,0.575023
70,0.186650
878,27.053556
8552,0.368114
74,26.506752
910,11.577380
75,20.955582
86,11.321811
93,41.092963
106,38.107445
136,92.738530
140,114.061209
144,13.187888
145,12.042166
151,15.453018
188,42.270067
195,103.110958
212,1.091420
213,46.488933
301,22.085570
416,71.619307
443,45.679979
478,54.930939
566,89.542760
588,77.140655
647,48.861273
734,61.977782
823,81.641349
851,60.039362
919,10.733516
1330,22.665450
1359,5.306481
1365,14.577980
1371,30.910170
1672,38.262413
1725,19.769198
1768,41.717182
1793,13.391426
1824,54.901193
2718,19.170387
2737,15.748369
2753,29.978941
3027,15.262602
3237,35.844122
3311,38.029983
3334,6.009104
3844,12.606594
4153,14.466174
4398,17.228233
4746,34.771077
5030,35.790921
5033,15.683611
5036,13.010291
5048,0.368355
5050,4.159116
5061,1.463998
6917,21.126172
9132,2.784048
9136,0.739050
9498,0.284162
9499,0.546683
9500,3.263523
9501,1.224029
9502,0.818000
9503,0.272096
9504,8.332971
308,38.074597
10606,0.182830
88,25.610126
118,9.218349
949,9.115936
7775,2.170952
81,10.927253
82,19.244732
184,25.031511
273,122.969940
316,17.210045
390,3.651776
1053,19.393879
1139,96.452078
2348,9.267108
2630,31.694022
5020,8.466001
5024,1.752966
5069,24.118029
5587,2.535459
8032,3.705722
8556,6.759079
8565,1.594274
8566,3.768572
9129,7.207801
9130,2.205729
9131,1.563143
9133,0.489321
9134,1.094166
9135,4.733573
78,30.679149
115,11.377635
128,24.521100
362,1.547703
959,3.432832
960,12.880014
961,0.181782
962,0.181782
102,18.497135
112,4.891801
133,13.664749
1806,15.268022
887,28.280197
5023,2.445330
189,0.272775
204,0.453724
72,34.227278
76,73.666117
83,18.160092
95,54.079702
107,21.122406
109,30.597313
232,36.019982
353,63.580723
402,15.519603
409,12.707539
458,113.810660
652,48.665054
802,36.559281
873,5.583678
929,26.711536
939,34.849922
1028,111.908240
1161,21.967303
1287,0.541780
1304,23.717118
1334,28.357615
1507,27.885196
1528,33.027143
1552,12.913994
1819,23.654771
1821,25.292664
1927,17.865562
1935,27.937356
2111,15.732895
2253,19.539548
2720,9.028377
2939,20.719857
2947,23.695211
4755,32.761457
5041,2.193338
5045,2.102751
5046,1.630407
6826,0.090540
6827,0.362542
6828,3.267794
6829,1.524942
6830,0.271240
6831,4.190624
9137,7.850509
342,31.138396
1588,19.869311
1970,4.296032
